docId,Entity,Start,End,Tag
S0927024813001955-812,2 h,233,236,MeasuredEntity
S0927024813001955-812,solutions,279,288,MeasuredEntity
S2213158213000582-1398,posterior part,300,314,MeasuredEntity
S2213158213000582-1398,left SFG,318,326,MeasuredEntity
S0257897213007573-555,CVD,267,270,MeasuredEntity
S0038071711004354-1624,soil,152,156,MeasuredEntity
S0378383912000130-3739,beach,15,20,MeasuredEntity
S0257897213007573-574,SiC,229,232,MeasuredEntity
S0960148113005727-1451,reasons as a gradual,35,55,MeasuredEntity
S0032063312003054-2458,MEX orbits,199,209,MeasuredEntity
S0032063312003054-2458,of MEX orbits,342,355,MeasuredEntity
S0032063312003054-2458,MEX orbits,588,598,MeasuredEntity
S0168945213001805-4574,PHOTOPERIOD RESPONSE 1,59,81,MeasuredEntity
S0960148113005727-1466,wind farm,43,52,MeasuredEntity
S0960148113005727-1466,farm suffers a linear annual deterioration of,119,164,MeasuredEntity
S0960148113005727-1466,TWh,236,239,MeasuredEntity
S175058361300203X-1240,injection point,1122,1137,MeasuredEntity
S0032386113005454-1245,S-CSR particles,105,120,MeasuredEntity
S0960148113002735-1989,separate topology,376,393,MeasuredEntity
S0960148113005727-855,"lifetime,",462,471,MeasuredEntity
S0032063313003218-5381,change,143,149,MeasuredEntity
S0032063313003218-5381,scenarios,336,345,MeasuredEntity
S0019103512003533-5211,a function,437,447,MeasuredEntity
S0019103512002801-1781,pitch angle α,109,122,MeasuredEntity
S0019103512002801-1781,bounce,387,393,MeasuredEntity
S0019103512002801-1781,electrons,415,424,MeasuredEntity
S0019103512003995-2096,"H Lyman α line, and used the observations to constrain the mean",116,179,MeasuredEntity
S0019103512003995-2096,K10,534,537,MeasuredEntity
S0019103512003995-2096,M7 model of K10),1075,1091,MeasuredEntity
S0378383912000130-1090,beach,212,217,MeasuredEntity
S0301010413004096-767,ΔE/,215,218,MeasuredEntity
S0301010413004096-767,E.,218,220,MeasuredEntity
S0301010413004096-767,sample,364,370,MeasuredEntity
S1750583613004192-1126,plume's progress,692,708,MeasuredEntity
S1750583613004192-1126,model enables,1286,1299,MeasuredEntity
S0167577X13006393-662,voltage,227,234,MeasuredEntity
S2213671113000908-643,F,149,150,MeasuredEntity
S0038071711004354-755,initial δ13C,148,160,MeasuredEntity
S0038071711004354-755,Soil surface flux,340,357,MeasuredEntity
S0038071711004354-755,Data,453,457,MeasuredEntity
S0038071711004354-755,CO2 stabilised,575,589,MeasuredEntity
S2213158213000582-751,stronger activity,112,129,MeasuredEntity
S0378383911001669-1203,maximum backwash velocity (--),305,335,MeasuredEntity
S0378383911001669-1203,sand-rough beach,402,418,MeasuredEntity
S0925443913001385-1621,L7/,503,506,MeasuredEntity
S0925443913001385-1621,initial,841,848,MeasuredEntity
S0019103512003995-2579,H,37,38,MeasuredEntity
S2213158213001253-2583,regions of differential cortical activation between HI and NH children listening to natural language as an auditory,1608,1723,MeasuredEntity
S2213158213001253-2583,fMRI scans,2635,2645,MeasuredEntity
S1359645413009816-2227,samples,111,118,MeasuredEntity
S1359645413009816-2227,samples,190,197,MeasuredEntity
S1359645413009816-2227,radii of,215,223,MeasuredEntity
S1359645413009816-2227,measurements,252,264,MeasuredEntity
S0378383912000130-3726,beach,26,31,MeasuredEntity
S0960148113005727-739,individual farms over,177,198,MeasuredEntity
S2213158213000582-1050,-brain measures,127,142,MeasuredEntity
S0925443913001385-1683,levels small subunit polypeptides including DAP3,981,1029,MeasuredEntity
S0925443913001385-1683,“free” population,1293,1310,MeasuredEntity
S0925443913001385-1683,immunoprecipitation,2308,2327,MeasuredEntity
