docId,Entity,Start,End,Tag
S2213158213000582-1398,SZ,265,267,Qualifier
S2213158213000582-1398,HC,357,359,Qualifier
S0038071711004354-1624,before the,370,380,Qualifier
S0960148113005727-1451,stands,284,290,Qualifier
S0960148113005727-855,"over a twenty year lifetime,",443,471,Qualifier
S0019103512003995-2096,upper boundary,715,729,Qualifier
S0167739X12001525-6016,cases on average,443,459,Qualifier
S0167739X12001525-6016,average,518,525,Qualifier
S1750583613004192-1126,below,396,401,Qualifier
S016412121300188X-4207,larger than the High setting,162,190,Qualifier
S2213158213000582-751,SZ,141,143,Qualifier
S0378383911001669-1203,sand-rough beach,402,418,Qualifier
S0378383911001669-1203,gravel-rough beach,525,543,Qualifier
S0019103512003995-2579,rather than a sharp cutoff,311,337,Qualifier
S2213158213001253-2583,at various levels,239,256,Qualifier
S2213158213000582-766,SZ,112,114,Qualifier
S2213158213000582-1050,SZ,37,39,Qualifier
S0925443913001385-1683,IP,1545,1547,Qualifier
S0925443913001385-1683,from decreased interactions,3000,3027,Qualifier
S0167610513001001-1566,mean,807,811,Qualifier
S0167610513001001-1566,smaller,1094,1101,Qualifier
S0019103511004994-1607,to background levels,1355,1375,Qualifier
S0032386113005454-2876,epoxy polymer,1008,1021,Qualifier
S0038071711004354-2578,top,81,84,Qualifier
S0167610513001001-1618,Below,109,114,Qualifier
S0167610513001001-1618,median,119,125,Qualifier
S0927024813003036-1981,annealed,380,388,Qualifier
S0022459611006116-1200,over 14 h,324,333,Qualifier
S2213158213000582-1469,SZ,487,489,Qualifier
S0016236113008041-3127,C,985,986,Qualifier
S0301010413004096-693,ions or clusters bridged,276,300,Qualifier
S0925443913001385-1319,"rRNA,",3834,3839,Qualifier
S0378112713005288-1800,for each tree species,904,925,Qualifier
S0032063313003218-7156,larger than the responsive,401,427,Qualifier
S0016236113008041-3257,Ca,1002,1004,Qualifier
S0167577X13006393-801,below,1087,1092,Qualifier
S0038071711004354-2389,h−1contributed,118,132,Qualifier
S0032386113005454-2886,epoxy polymer,667,680,Qualifier
S2213158213000582-1410,distributed source localization methods,320,359,Qualifier
S0032063313003218-5269,total inferred heating rate,692,719,Qualifier
S0032063313003218-5269,before the onset of subsequent heating,911,949,Qualifier
S2213158213000582-1183,SZ,174,176,Qualifier
S2213158213000582-1183,SZ,721,723,Qualifier
S2213158213000582-1183,relative,734,742,Qualifier
S0022459611006116-1257,reagent,400,407,Qualifier
S0167610513001001-1769,datasets,293,301,Qualifier
S0167610513001001-858,Mean,0,4,Qualifier
S0925443913001385-849,loaded,324,330,Qualifier
S0967064513002774-1376,at each time point,453,471,Qualifier
S2213158213001253-2433,high,311,315,Qualifier
S2213158213001253-2433,From the ROC,348,360,Qualifier
S037842901300244X-1427,FS,451,453,Qualifier
S0960148113002735-2182,decreases,409,418,Qualifier
S016412121300188X-3207,of the programs,347,362,Qualifier
S0378112713005288-1916,rowan,577,582,Qualifier
S0378112713005288-1916,< 0.0001,659,667,Qualifier
S2213158213000582-1390,SZ,254,256,Qualifier
S0022459611006116-987,Mg2NF,322,327,Qualifier
S0378383911001669-2205,sand-rough,218,228,Qualifier
S0378383911001669-2205,gravel-rough,240,252,Qualifier
S0378383911001669-2205,sand-rough beach,290,306,Qualifier
S0378383911001669-2205,gravel-rough,902,914,Qualifier
S1873506113001116-1456,culture conditions reduce selective pressure,575,619,Qualifier
S0021979713004438-2004,before and after,469,485,Qualifier
S037842901300244X-1654,after sowing,1064,1076,Qualifier
