docId,Entity,Start,End,Tag
S0167610513002729-1127,case,26,30,MeasuredEntity
S0032063312003054-2264,heavy-ions,252,262,MeasuredEntity
S0032063312003054-2264,heavy-ions,485,495,MeasuredEntity
S0032063312003054-2264,closed crustal magnetic field line,659,693,MeasuredEntity
S0167610512002292-3305,different simulations,23,44,MeasuredEntity
S0167610512002292-3305,plate,82,87,MeasuredEntity
S0167610512002292-3305,plate,113,118,MeasuredEntity
S0167610512002292-3305,plate,178,183,MeasuredEntity
S0167610512002292-3305,inflow condition,309,325,MeasuredEntity
S0006322312001096-1190,Venous blood,626,638,MeasuredEntity
S0006322312001096-1190,Serum for lipid analyses,725,749,MeasuredEntity
S0006322312001096-1190,new venous blood samples,1177,1201,MeasuredEntity
S0006322312001096-1190,glucose solution,1253,1269,MeasuredEntity
S0006322312001096-1190,glucose oxidase method,1308,1330,MeasuredEntity
S0006322312001096-1190,fasting glucose,1477,1492,MeasuredEntity
S0006322312001096-1190,2-hour postload glucose,1508,1531,MeasuredEntity
S0006322312001096-1190,rest,1714,1718,MeasuredEntity
S0019103512004009-5033,H/H+,4,8,MeasuredEntity
S0019103512004009-5033,H/H+,142,146,MeasuredEntity
S0019103512004009-5033,C2 model,401,409,MeasuredEntity
S0019103512004009-5033,MC09 model,530,540,MeasuredEntity
S0019103512004009-5033,H/H+,669,673,MeasuredEntity
S0019103512004009-5033,H Lyman α transit depth,986,1009,MeasuredEntity
S0167739X12001525-5094,condition part,189,203,MeasuredEntity
S0167739X12001525-5094,rules,1154,1159,MeasuredEntity
S0167577X13006393-399,pure PLGA spectrum,119,137,MeasuredEntity
S0167577X13006393-399,spectrum of HA nanopowder,207,232,MeasuredEntity
S0167577X13006393-399,PLGA–HA,419,426,MeasuredEntity
S0019103512003995-2681,M7 model,226,234,MeasuredEntity
S0019103512003995-2681,silicon,374,381,MeasuredEntity
S0019103512003995-2681,C2 model,502,510,MeasuredEntity
S0019103512003995-2681,M7 model,772,780,MeasuredEntity
S0012821X12004384-1284,samples,150,157,MeasuredEntity
S0012821X12004384-1284,Replicate analysis,331,349,MeasuredEntity
S0012821X12004384-1284,bulk rock samples,451,468,MeasuredEntity
S0012821X12004384-1284,samples,722,729,MeasuredEntity
S0012821X12004384-1284,azeotropic mixture of dichloromethane and methanol,759,809,MeasuredEntity
S0012821X12004384-1284,HCl,1131,1134,MeasuredEntity
S0012821X12004384-1284,samples,1331,1338,MeasuredEntity
S0012821X12004384-1284,replicate analyses,1689,1707,MeasuredEntity
S1873506114000075-1242,cells,970,975,MeasuredEntity
S1873506114000075-1242,cells,1033,1038,MeasuredEntity
S1873506114000075-1242,cells,1095,1100,MeasuredEntity
S1873506114000075-1242,ALB secretion,1141,1154,MeasuredEntity
S0019103513005058-4158,impactors have churned the soil on Mars,639,678,MeasuredEntity
S0019103513005058-4158,three e-folding depths,724,746,MeasuredEntity
S0019103513005058-4158,soil,842,846,MeasuredEntity
S1389128612002496-5994,packets,306,313,MeasuredEntity
S0927775713009606-1361,divalent cation Cd2+,33,53,MeasuredEntity
S0927775713009606-1361,amylose helix,213,226,MeasuredEntity
S0927775713009606-1361,H-bonding,506,515,MeasuredEntity
S0927024813002420-975,C60,189,192,MeasuredEntity
S0927024813002420-975,DC Power Supply,414,429,MeasuredEntity
S0927024813002420-975,DC Power Supply,459,474,MeasuredEntity
S0927024813002420-975,evaporation,494,505,MeasuredEntity
S0927024813002420-975,PTh and C60 deposition,602,624,MeasuredEntity
S0927024813002420-975,PTh,984,987,MeasuredEntity
S0921818113002245-1752,distinct layer of clastic sediment,213,247,MeasuredEntity
S1873506114000075-1132,differentiation medium,4,26,MeasuredEntity
S175058361300203X-1280,dominant frequency,635,653,MeasuredEntity
S0927024813001955-576,AALD ZnO film,94,107,MeasuredEntity
S0927024813001955-576,devices,275,282,MeasuredEntity
S0019103513005058-4175,global soil,354,365,MeasuredEntity
S0019103513005058-4175,soil,584,588,MeasuredEntity
S0019103513005058-4175,terrestrial volcanic gas flux,749,778,MeasuredEntity
S0032063312003054-2467,MEX orbits,726,736,MeasuredEntity
S2211124713006475-841,GH plasma levels,4,20,MeasuredEntity
S016412121300188X-4436,threshold,236,245,MeasuredEntity
S016412121300188X-4436,program's SDG vertices,346,368,MeasuredEntity
S0167880913001229-1225,ANOVA,198,203,MeasuredEntity
S0167880913001229-1225,change in SOC stock,265,284,MeasuredEntity
S0167880913001229-1225,effect of initial C concentration,454,487,MeasuredEntity
S030881461301604X-1002,stock solutions,4,19,MeasuredEntity
S030881461301604X-1002,DMA,74,77,MeasuredEntity
S030881461301604X-1002,MMA,82,85,MeasuredEntity
S030881461301604X-1002,nitric acid,227,238,MeasuredEntity
S030881461301604X-1002,final standard concentrations,357,386,MeasuredEntity
S030881461301604X-1002,nitric acid,441,452,MeasuredEntity
S0168945213001805-3964,mutant gene,271,282,MeasuredEntity
S0168945213001805-3964,Hybrid aspen (P. tremula × P. tremuloides) over-expressing GID1,900,963,MeasuredEntity
S0032386113005454-2055,double-cantilever mode,167,189,MeasuredEntity
S0032386113005454-2055,test specimens,217,231,MeasuredEntity
S0032386113005454-2055,temperature range,261,278,MeasuredEntity
S0032386113005454-2055,heating rate,313,325,MeasuredEntity
S0032386113005454-2055,epoxy,771,776,MeasuredEntity
S0032386113005454-2055,front factor,833,845,MeasuredEntity
S0032386113005454-2055,epoxy,922,927,MeasuredEntity
S0032386113005454-2055,room temperature,944,960,MeasuredEntity
S0165587612003680-1078,bacteria,196,204,MeasuredEntity
S0165587612003680-1078,commonest pathogens,450,469,MeasuredEntity
S0165587612003680-1078,S. lugdunensis,686,700,MeasuredEntity
S0165587612003680-1078,bacteria isolated from OME,1032,1058,MeasuredEntity
S0032063312003054-1990,ELS spectrogram,103,118,MeasuredEntity
S0032063312003054-1990,clear “inverted-V” structure,142,170,MeasuredEntity
S0032063312003054-1990,peak,314,318,MeasuredEntity
S0012821X12004384-1249,Borehole 22/10a-4,0,17,MeasuredEntity
S0012821X12004384-1249,section of 22/10a-4,456,475,MeasuredEntity
S0012821X12004384-1249,the claystone,710,723,MeasuredEntity
S0012821X12004384-1249,alternately pale and dark laminae couplets,754,796,MeasuredEntity
S0012821X12004384-1249,Laminae,950,957,MeasuredEntity
S0012821X12004384-1249,core,1001,1005,MeasuredEntity
S0960148113002048-3775,major trends,135,147,MeasuredEntity
S0960148113002048-3775,wind,693,697,MeasuredEntity
S0960148113002048-3775,wind,968,972,MeasuredEntity
S0006322312001096-1260,adults,221,227,MeasuredEntity
S0006322312001096-1260,elevated depressive symptoms,423,451,MeasuredEntity
S0006322312001096-1260,older adults,624,636,MeasuredEntity
S0006322312001096-1260,objective atherosclerosis measures,679,713,MeasuredEntity
S1873506113001116-1369,BC1 and TNC1 hiPSCs,0,19,MeasuredEntity
S1873506113001116-1369,serum,403,408,MeasuredEntity
S1873506113001116-1369,cells of all three germ layers,550,580,MeasuredEntity
S1873506113001116-1369,BC1,1156,1159,MeasuredEntity
S1873506113001116-1369,TNC1,1164,1168,MeasuredEntity
S1873506113001116-1369,total number of CFUs,1468,1488,MeasuredEntity
S0012821X12004384-1232,central part of the basin,37,62,MeasuredEntity
S0012821X12004384-1232,turbidite sandstones,306,326,MeasuredEntity
S0012821X12004384-1232,basin,471,476,MeasuredEntity
S0032063313003218-6651,limit of present HST detectability,360,394,MeasuredEntity
S0032063313003218-6651,case ES with EF,459,474,MeasuredEntity
