docId,Entity,Start,End,Tag
S0019103512004009-5033,transition,9,19,MeasuredProperty
S0019103512004009-5033,transition,147,157,MeasuredProperty
S0019103512004009-5033,temperature,361,372,MeasuredProperty
S0019103512004009-5033,level,388,393,MeasuredProperty
S0019103512004009-5033,p0,544,546,MeasuredProperty
S0019103512004009-5033,T0,562,564,MeasuredProperty
S0019103512004009-5033,transition,674,684,MeasuredProperty
S0927024813002420-1202,photocurrents,284,297,MeasuredProperty
S0927024813002420-1202,power conversion efficiency,441,468,MeasuredProperty
S016412121300188X-4436,produce the same backward slice as well as the same forward slice,369,434,MeasuredProperty
S0925443913003037-654,age,25,28,MeasuredProperty
S175058361300203X-1280,density,103,110,MeasuredProperty
S175058361300203X-1280,Vp,185,187,MeasuredProperty
S2213671113000738-684,CD8+ killer T cells,1266,1285,MeasuredProperty
S016412121300188X-4640,coherent cluster,32,48,MeasuredProperty
S0006322312001096-1278,age,442,445,MeasuredProperty
S0378383912000130-3662,response,81,89,MeasuredProperty
S175058361300203X-1556,Seismic amplitude differences between the 38 °C and 34 °C scenarios,586,653,MeasuredProperty
S0006322312001096-1221,absolute increase,312,329,MeasuredProperty
S0006322312001096-1221,odds ratio,483,493,MeasuredProperty
S0006322312001096-1221,increase,512,520,MeasuredProperty
S0006322312001096-1221,odds ratios,645,656,MeasuredProperty
S1873506113001116-1204,cultured on E8 feeder-free conditions,323,360,MeasuredProperty
S1873506113001116-1204,survived and formed convex dish-shaped aggregates,541,590,MeasuredProperty
S1873506113001116-1204,rate,819,823,MeasuredProperty
S1873506113001116-1204,TRA-1–60+,918,927,MeasuredProperty
S1873506113001116-1204,CD34+CD45+ HPCs,1243,1258,MeasuredProperty
S1873506113001116-1204,treatment,1391,1400,MeasuredProperty
S2213671113000921-1279,gene targeting rates,252,272,MeasuredProperty
S0021979713004438-1401,NaOH,119,123,MeasuredProperty
S0021979713004438-1401,contact angle,784,797,MeasuredProperty
S0021979713004438-1401,open circuit potential,842,864,MeasuredProperty
S0960148113005727-1181,output,131,137,MeasuredProperty
S0032063312002437-627,mass channel number,385,404,MeasuredProperty
S0019103513005058-4175,SO4,154,157,MeasuredProperty
S0019103513005058-4175,soluble sulfate,187,202,MeasuredProperty
S0019103513005058-4175,SO3,334,337,MeasuredProperty
S0019103513005058-4175,S,348,349,MeasuredProperty
S0019103513005058-4175,average sulfur content,519,541,MeasuredProperty
S016412121300188X-4937,coherent clusters,562,579,MeasuredProperty
S0006322312001096-1275,response,15,23,MeasuredProperty
S0927024813002420-1032,C60,441,444,MeasuredProperty
S0927024813002420-1032,thickness,451,460,MeasuredProperty
