docId,Entity,Start,End,Tag
S0019103512004009-5033,MC09 model,27,37,Qualifier
S0019103512004009-5033,moves higher,158,170,Qualifier
S0019103512004009-5033,30 nbar level,380,393,Qualifier
S0019103512004009-5033,not,424,427,Qualifier
S0019103512004009-5033,moves up,685,693,Qualifier
S0927024813002420-1202,than in thickness-optimized PTh/C60 planar heterojunction counterparts,298,368,Qualifier
S0927024813002420-1202,improved,426,434,Qualifier
S175058361300203X-1280,near,115,119,Qualifier
S2213671113000738-684,after the transplant in three animals,313,350,Qualifier
S0006322312001096-1278,stroke risk score was associated,373,405,Qualifier
S0006322312001096-1278,before,431,437,Qualifier
S0006322312001096-1278,little evidence to suggest that standard clinical information on preclinical vascular risk status would be helpful in the prediction,462,594,Qualifier
S175058361300203X-1556,near,233,237,Qualifier
S0006322312001096-1221,"power at a significance level of .05, an odds ratio",442,493,Qualifier
S0006322312001096-1221,CES-D and antidepressant medication,590,625,Qualifier
S1873506113001116-1204,expanded,760,768,Qualifier
S1873506113001116-1204,average,811,818,Qualifier
S1873506113001116-1204,increase,870,878,Qualifier
S1873506113001116-1204,after 13 passages,928,945,Qualifier
S1873506113001116-1204,of Y27632,1401,1410,Qualifier
S0021979713004438-1401,hematite surface,805,821,Qualifier
S0021979713004438-1401,relative to Ag/AgCl,865,884,Qualifier
S0960148113005727-1181,reduce,124,130,Qualifier
S0019103513005058-4175,Phoenix landing site,219,239,Qualifier
S0019103513005058-4175,"inferred from elemental abundances measured at various locations on Mars by Spirit, Opportunity, Pathfinder, and Viking Landers",366,493,Qualifier
S016412121300188X-4937,smaller,599,606,Qualifier
S016412121300188X-4937,larger,647,653,Qualifier
S0927024813002420-1032,of C60 and a thickness of 70 nm lead to device characteristics comparable to the previously reported planar heterojunction devices (Jsc∼2–3 mA/cm2 and Voc∼0.40–0.45 V),438,605,Qualifier
S1873506113001116-710,post-inoculation of single suspension BC1,114,155,Qualifier
S0012821X13007309-1691,occurring within <0.5 m,636,659,Qualifier
S0378383911001669-1112,sand-rough,66,76,Qualifier
S0378383911001669-1112,gravel-rough,93,105,Qualifier
S0378383911001669-1112,gravel-rough,126,138,Qualifier
S2211124713006475-1195,after in ovo transplantation,438,466,Qualifier
S2211124713006475-1195,after transplantation,819,840,Qualifier
S1387700313001822-661,centered at,883,894,Qualifier
S0927024813001955-679,ZnO,7,10,Qualifier
S2211124712002884-1060,supplemented with,638,655,Qualifier
S0019103511004994-1399,orbits the planet,57,74,Qualifier
S0019103511004994-1399,between 2005 and 2010,784,805,Qualifier
S0006322312001096-1271,for CES-D depressive symptoms,989,1018,Qualifier
S0006322312001096-1271,for GHQ symptoms,1041,1057,Qualifier
S1388248113001951-339,charged,99,106,Qualifier
S1388248113001951-339,discharged,149,159,Qualifier
S0019103512001388-1070,before the close approach of BS1 and BS2,74,114,Qualifier
