docId,Entity,Start,End,Tag
S0019103512004009-5033,near 1.4Rp,45,55,Quantity
S0019103512004009-5033,2–3Rp,174,179,Quantity
S0019103512004009-5033,30 nbar,380,387,Quantity
S0019103512004009-5033,3800 K,413,419,Quantity
S0019103512004009-5033,1000 K.,428,435,Quantity
S0019103512004009-5033,1 μbar,549,555,Quantity
S0019103512004009-5033,1300 K,567,573,Quantity
S0019103512004009-5033,3.4Rp,697,702,Quantity
S0019103512004009-5033,2–3%,1026,1030,Quantity
S0927024813002420-1202,60% higher,273,283,Quantity
S0927024813002420-1202,as much as 80%,472,486,Quantity
S0950705113001895-23137,3 and,111,116,Quantity
S0950705113001895-23137,< f(D3,138,144,Quantity
S016412121300188X-4436,10%,249,252,Quantity
S016412121300188X-4436,10%,335,338,Quantity
S0925443913003037-654,2.5 years,29,38,Quantity
S030881461301604X-1001,68 – 70%,120,128,Quantity
S030881461301604X-1001,30%,150,153,Quantity
S030881461301604X-1001,30%,204,207,Quantity
S030881461301604X-1001,98%,226,229,Quantity
S0038071713001971-1427,two years,100,109,Quantity
S175058361300203X-1280,40 Hz,657,662,Quantity
S2213671113000738-684,one,75,78,Quantity
S2213671113000738-684,3 months,108,116,Quantity
S2213671113000738-684,2 months,304,312,Quantity
S2213671113000738-684,three,337,342,Quantity
S2213671113000738-684,3.5–4 months,405,417,Quantity
S2213671113000738-684,60%,1249,1252,Quantity
S016412121300188X-4640,one,12,15,Quantity
S016412121300188X-4640,52.1%,60,65,Quantity
S016412121300188X-4640,54,132,134,Quantity
S016412121300188X-4640,7,157,158,Quantity
S016412121300188X-4640,54,258,260,Quantity
S016412121300188X-4640,26,272,274,Quantity
S016412121300188X-4640,26,329,331,Quantity
S0006322312001096-1278,65,449,451,Quantity
S0006322312001096-1278,65 years,635,643,Quantity
S0378383912000130-3662,8.5 mm,45,51,Quantity
S0378383912000130-3662,1.5 mm,136,142,Quantity
S0378383912000130-3662,1.5 mm,375,381,Quantity
S175058361300203X-1556,34 °C,65,70,Quantity
S175058361300203X-1556,38 °C,75,80,Quantity
S175058361300203X-1556,38 °C,628,633,Quantity
S175058361300203X-1556,34 °C,638,643,Quantity
S175058361300203X-1556,less than 1%,668,680,Quantity
S175058361300203X-1556,greater than 10%,818,834,Quantity
