docId,Entity,Start,End,Tag,Unidad
S0019103512002801-1927,about 0.1–0.2 s−1,152,169,Quantity,s−1
S0019103512002801-1927,5–10 s,212,218,Quantity,s
S0019103512004009-5019,30 nbar,310,317,Quantity,nbar
S0019103512004009-5019,1000 K,340,346,Quantity,K
S0019103512004009-5019,20 eV,680,685,Quantity,eV
S0019103512004009-5019,0.45 W m−2,710,720,Quantity,
S0019103512003533-5072,around 1300 m s−1 near 82° latitude and ∼1600 m s−1 near 78°,102,162,Quantity,°
S0019103513005058-1737,1 g cm−3,97,105,Quantity,
S0019103513005058-1737,1.5–2.6 m,132,141,Quantity,m
S0019103512004009-5507,about 8250 K,251,263,Quantity,K
S0019103512004009-5507,3Rp,308,311,Quantity,Rp
S0021979713004438-1415,25 ± 0.02 °C,345,357,Quantity,°C
S0012821X12004384-1405,ranging from 0% to 80%,762,784,Quantity,%
S0016236113008041-3112,10%,766,769,Quantity,%
S0019103512003995-3548,1 μbar,651,657,Quantity,μbar
S0019103512003995-3548,about 8250 K,851,863,Quantity,K
S0019103512003995-3548,3Rp,890,893,Quantity,Rp
S0019103512003995-3548,"approximately 6000 K and 11,000 K",1008,1041,Quantity,K
S0016236113008041-3290,<1 ppm,139,145,Quantity,ppm
S0016236113008041-3290,0.63 and 0.51 ppm respectively,203,233,Quantity,ppm
S0016236113008041-3290,1000 ppm,257,265,Quantity,ppm
S0016236113008041-3290,0 and 2000 ppm,424,438,Quantity,ppm
S0019103512003533-5031,from around 450 K,124,141,Quantity,K
S0019103512003533-5031,around 180 K,159,171,Quantity,K
S0019103512003533-5031,420 ± 30 K near 29.5°N,265,287,Quantity,°
S0019103512003533-5031,488 ± 14 K,376,386,Quantity,K
S0019103512003533-5031,450 K,528,533,Quantity,K
S0019103512003533-4971,less than 6 K,242,255,Quantity,K
S0012821X12004384-1594,above 2618 m,156,168,Quantity,m
S0012821X12004384-1594,40°N,310,314,Quantity,°
S0019103512003533-5598,from 74°S to 90°S,837,854,Quantity,°S
S0019103512003533-5598,490 K,884,889,Quantity,K
S0019103512003533-5598,430 K.,988,994,Quantity,K
S0019103512003533-5598,60 K,1014,1018,Quantity,K
S0012821X13002185-1231,30ε than,309,317,Quantity,
S0012821X13002185-1231,up to 40%,598,607,Quantity,%
S0012821X13002185-1231,385 (,759,764,Quantity,
S0012821X13002185-1231,12–20 μm,848,856,Quantity,μm
S0012821X13002185-1231,between 2 and 20 μm,1083,1102,Quantity,μm
S0012821X13002185-1231,∼–1‰,1327,1331,Quantity,‰
S0012821X13002185-1231,2–10 μm,1708,1715,Quantity,μm
S0012821X13002185-1231,10–20 μm,1720,1728,Quantity,μm
S0016236113008041-3269,1000 and 2000 ppm,287,304,Quantity,ppm
S0016236113008041-3269,from 0 to 1000 ppm,349,367,Quantity,ppm
S0016236113008041-3269,1000 ppm,446,454,Quantity,ppm
S0016236113008041-3269,0 and 2000 ppm,484,498,Quantity,ppm
S0016236113008041-3269,1000 ppm,714,722,Quantity,ppm
S0016236113008041-3269,135 ppm,764,771,Quantity,ppm
S0016236113008041-3269,407 ppm,791,798,Quantity,ppm
