docId,Entity,Start,End,Tag
S0019103512003533-5072,latitude,129,137,Qualifier
S0019103512003995-3548,below 3Rp,884,893,Qualifier
S0012821X12004384-1594,before the CIE onset,169,189,Qualifier
S0012821X13002185-1217,nebuliser,629,638,Qualifier
S0016236113008041-3186,concentration of <,326,344,Qualifier
S0016236113008041-3031,other,1404,1409,Qualifier
S0016236113008041-913,CaCO3,153,158,Qualifier
S0019103512003995-1910,during one period of solar rotation,222,257,Qualifier
S0012821X12004384-1302,CA,25,27,Qualifier
S0012821X12004384-1302,CA,464,466,Qualifier
S0019103512004009-3962,inferred,24,32,Qualifier
S0019103512004009-4492,of the C1 model below this point,330,362,Qualifier
S0016236113008041-3207,CaCO3,298,303,Qualifier
S0019103512003533-5251,inferred,406,414,Qualifier
S0012821X12004384-1599,before the CIE,89,103,Qualifier
S0012821X13007309-1509,below the CTB,135,148,Qualifier
S0016236113008041-890,CaCO3,120,125,Qualifier
S0022000014000026-18167,dominating,587,597,Qualifier
S0016236113008041-3171,increasing,445,455,Qualifier
